Nome da Música,Nome do Artista,Ano de Lançamento,Gênero Musical,Letra da Música,Playlist
Anestesiado - Ao Vivo,Murilo Huff,2023,Sertanejo,"A fumaça acaba com meu pulmão
A bebida destrói o meu fígado
A saudade afoga meus olhos
E mesmo assim, sobrevivo

Tem pedaços de mim em camas variadas
Amores mal vividos, bocas mal beijadas
Noites mal dormidas
Se sabe o motivo, a razão e a culpada

Então
Como tem coragem de ficar falando mal dos meus vícios?
Se eles tão salvando o que fez comigo
Como tem coragem de falar que eu tô vivendo errado?
Se eu só te esqueço assim, anestesiado

Como tem coragem de ficar falando mal dos meus vícios?
Se eles tão salvando o que fez comigo
Como tem coragem de falar que eu tô vivendo errado?
Se eu só te esqueço assim, anestesiado

Tem pedaços de mim em camas variadas
Amores mal vividos, bocas mal beijadas
Noites mal dormidas
Se sabe o motivo, a razão e a culpada

Então
Como tem coragem de ficar falando mal dos meus vícios?
Se eles tão salvando o que fez comigo
Como tem coragem de falar que eu tô vivendo errado?
Se eu só te esqueço assim, anestesiado

Como tem coragem de ficar falando mal dos meus vícios?
Se eles tão salvando o que fez comigo
Como tem coragem de falar que eu tô vivendo errado?
Se eu só te esqueço assim, anestesiado
Se eu só te esqueço assim, anestesiado",Top Brasil
Morena De Goiânia - Ao Vivo,Hugo & Guilherme,2024,Sertanejo,"Festival sertanejo
E eu no camarote
A boca mais linda
Virando gin no gole

Falei “e aí, tá afim de beijar? ”
Mais doida que eu
Respondeu “só se for agora”

No outro dia eu vim embora
Tô na minha cidade agora
Com o contato errado
Sem ela me seguir de volta

Dois copo, um beijo
Mão na nuca e eu já cai na cama
Me amou, vazou
Deixou perfume na fronha branca

Eu tô ligando 62
E o 62 não chama
Oh saudade da morena de Goiânia

Dois copo, um beijo
Mão na nuca e eu já cai na cama
Me amou, vazou
Deixou perfume na fronha branca

Eu tô ligando 62
E o 62 não chama
Oh saudade da morena de Goiânia",Top Brasil
Quase Algo - Ao Vivo Em Nova Iorque / 2022,Henrique & Juliano,2023,Sertanejo,"Eu já tive alguns amores
Uns terminaram com briga, outros terminaram de boa
E até somos amigos ainda

Alguns eu pensei que eram pra vida
Outros claramente eram só um fase
Alguns me apeguei de verdade
Outros eram comodidade

Mas, nenhum fim doeu igual ao final desse quase
Por esse quase, eu quase morri de saudade
Eu quase bebi a cidade inteira, eu quase perdi a cabeça

Inventando possíveis defeitos
Que eu nem cheguei a conhecer
Pra ver se dói só um pouco menos
Perder quem eu nem cheguei a ter

Quase, eu quase morri de saudade
Eu quase bebi a cidade inteira, eu quase perdi a cabeça

inventando possíveis defeitos
Que eu nem cheguei a conhecer
Pra ver se dói só um pouco menos
Perder quem eu nem cheguei a ter

Esquecer um ex já é puxado
Tenta esquecer um quase algo…

Mas, nenhum fim doeu igual ao final desse quase

Por esse quase, eu quase morri de saudade
Eu quase bebi a cidade inteira, eu quase perdi a cabeça

Inventando possíveis defeitos
Que eu nem cheguei a conhecer
Pra ver se dói só um pouco menos
Perder quem eu nem cheguei a ter

Esquecer um ex já é puxado
Tenta esquecer um quase algo…

já é puxado
Tenta esquecer um quase algo…",Top Brasil
Meu Pra Sempre Não Era Meu - Ao Vivo,Simone Mendes,2024,Sertanejo,"O banco do carona sempre fora da posição
Seu celular nem podia colocar a mão
Mas eu confiei
Na minha desconfiança
No meio da fumaça e bebida
Tinha cheiro de outras camas

Me fere
Saber que eu amei um homem
Que era um moleque

O meu pra sempre não era meu
Era de todo mundo
O meu pra sempre não era meu
O pra sempre vagabundo

O meu pra sempre não era meu
Era de todo mundo
O meu pra sempre não era meu
O pra sempre vagabundo

Cê tá plantando o seu tropeço
Quem brinca hoje
Amanhã vai ser brinquedo

Cê tá plantando o seu tropeço
Quem brinca hoje
Amanhã vai ser brinquedo",Esquenta Sertanejo
Bem Mais Que Eu (Você Quer Caçar Seu Rumo) - Ao Vivo,Diego & Victor Hugo,2024,Sertanejo,"Sei que você não tá entendendo nada
Tanta gente reunida aqui em casa
Eu convidei tanta gente por uma razão
Acalma o coração

Bebe um pouco
Que o assunto é um pouco importante
Aliás, bebe um pouco mais
Que o assunto é importante demais

Deixa eu ajoelhar na sua frente
Calma, respira
Lá vem o pedido
E vai ser de uma vez
1, 2, 3

Você quer caçar seu rumo
Por que eu já sei de tudo
Aproveita, pega ele e leva junto

Você só errou no quanto
A cidade é pequena
Você conta, ele conta, ou eu conto

Você tem seus amigos
E eu os meus
Um mais meus do que seu
E um bem mais seu do que meu",Esquenta Sertanejo
Pega Cabuloso - Ao Vivo em São Paulo,NATTAN,2024,Sertanejo,"Eu te odeio
Porque quando eu tô te esquecendo eu esqueço
Que eu não posso chegar perto do seu beijo
Se não

É corpo suando
Mão boba e batom borrado
Língua no céu da sua boca
Roupa no chão do seu quarto
A gente tá muito junto pra quem tava separado

Fala como é que não passa essa raiva de novo
Se a raiva beija bem, se a raiva faz gostoso
Se a raiva tira a raiva com uns pega cabuloso

Fala como é que não passa essa raiva de novo
Se a raiva beija bem, se a raiva faz gostoso
Se a raiva tira a raiva com uns pega cabuloso

É corpo suando
Mão boba e batom borrado
Língua no céu da sua boca
Roupa no chão do seu quarto
A gente tá muito junto pra quem tava separado

Fala como é que não passa essa raiva de novo
Se a raiva beija bem, se a raiva faz gostoso
Se a raiva tira a raiva com uns pega cabuloso

Fala como é que não passa essa raiva de novo
Se a raiva beija bem, se a raiva faz gostoso
Se a raiva tira a raiva com uns pega cabuloso

Fala como é que não passa essa raiva de novo
Se a raiva beija bem, se a raiva faz gostoso
Se a raiva tira a raiva com uns pega cabuloso",Esquenta Sertanejo
Quem Tá Fora - Ao Vivo,Matheus & Kauan,2024,Sertanejo,"A primeira vantagem de um solteiro
É sair de casa e não ter hora pra voltar
A segunda é nunca ter freio
A terceira é dar amor sem ter que amar
Pra quem quiser usar e abusar

Mas tudo isso é questão de matemática
A maioria desse povo nem queria tá na farra
E uma hora a conta para de fechar
Cê tem lugar pra ir mas não tem pra voltar
E sempre dá pra piorar

Quem tá fora quer entrar
Quem tá dentro quer sair
Da boca pra fora ser solteiro é bem melhor
Mas do peito pra dentro não é bem assim",Esquenta Sertanejo
Dedo do Meio - Ao Vivo,Murilo Huff,2024,Sertanejo,"Ela perdeu o medo do espelho
Trocou o preto pelo vermelho
E o principal, se arrumou por dentro
Fazia tempo que essa boca não via batom
E ninguém tinha chance de sentir seu cheiro bom

Eu já tô vendo ela em cima de um carro de som
Moendo, dançando e os cara chegando
O som batendo e os grave balançando o seu cabelo
E o copo cheio

A superação dela veio
E pra mim, dedo do meio
O som batendo e os grave balançando o seu cabelo
E o copo cheio

A superação dela veio
E pra mim, dedo do meio
Fazia tempo que essa boca não via batom
E ninguém tinha chance de sentir seu cheiro bom

Eu já tô vendo ela em cima de um carro de som
Moendo, dançando e os cara chegando

O som batendo e os grave balançando o seu cabelo
E o copo cheio
A superação dela veio
E pra mim, dedo do meio

O som batendo e os grave balançando o seu cabelo
E o copo cheio
A superação dela veio
E pra mim, dedo do meio",Esquenta Sertanejo
Saudade Butequeira - Ao Vivo,Felipe e Rodrigo,2024,Sertanejo,"Promessa é dívida e a sua tá alta
Sua moral tá baixa
Das vezes que falou que ia me esquecer
Esqueceu foi nada, nada, nada

É que o seu histórico não te favorece
Quem te compra é quem não te conhece
A bebida desce, você aparece

Sua saudade é butequeira, fuleira, tranqueira
Cê só me ama com cheiro e sabor de cerveja
Cê é o maior clichê que o mundo já viu
Bebeu, lembrou, ligou, me amou
Sarou, sumiu",Esquenta Sertanejo
Vestido Curto - Ao Vivo,Diego & Victor Hugo,2023,Sertanejo,"Eu te mandei de boa e você leu com raiva
Mesmo 'tando certo
Dou uma recuada

Cê é doido
E o medo que eu tenho de cê ir pra rua
Sem aliança nenhuma
Mas a última palavra é sempre minha
Desculpa

Eu perco toda briga só pra não largar de mim
A minha boca pede ""fica"", não ameaça o fim
Como compete com você nessa situação
Com esse vestido curto e esse tamanho de bundão?",Esquenta Sertanejo
Você Vai Ser Fiel - Ao Vivo Em Nova Iorque / 2022,Henrique & Juliano,2023,Sertanejo,"Não é só tesão que tá batendo
Tá vindo remorso e arrependimento
Alguém tem que respeitar seu relacionamento

Podia não ter sido eu
A mira desse seu tesão noturno
Minha consciência tava limpa
Mas também não tinha feito
O melhor amor que fiz no mundo

Enquanto a gente suava
Seu celular não parou um segundo

Se levantar dessa cama
Cê vai embora com a certeza
Comigo você nunca mais deita
Isso aqui que a gente faz não é massa é safadeza

Se levantar dessa cama
Esquece esse caminho aqui desse motel
Parou de colocar e tirar esse anel
Se depender de mim você vai ser fiel

Quando levantar dessa cama
Cê vai ter que escolher só um
Pra falar que ama

Podia não ter sido eu
A mira desse seu tesão noturno
Minha consciência tava limpa
Mas também não tinha feito
O melhor amor que fiz no mundo

Enquanto a gente suava
Seu celular não parou um segundo

Se levantar dessa cama
Cê vai embora com a certeza
Comigo você nunca mais deita
Isso aqui que a gente faz não é massa é safadeza

Se levantar dessa cama
Esquece esse caminho aqui desse motel
Parou de colocar e tirar esse anel
Se depender de mim você vai ser fiel

Quando levantar dessa cama
Cê vai ter que escolher só um
Pra falar que ama

Cê vai ter que escolher só um
Pra falar que ama",Esquenta Sertanejo
Não Me Bloqueia Não - Ao Vivo,Clayton & Romário,2024,Sertanejo,"Toda causa tem efeito
E no caso eu tô sofrendo pelos meus defeitos
Já que eu não tomo jeito
Tô tomando qualquer coisa que esquenta o peito

A bebida é remédio, é veneno
A distância é saudade
Se não mata ela humilha
Olha os copos me passando a perna e eu caindo na pilha

No primeiro copo eu já mandei um oi
No segundo copo eu já mandei textão
Do terceiro pra frente se eu ligar não liga
Minha saudade tá com o celular na mão

Não me bloqueia não, não me bloqueia não
Minha saudade tá com celular na mão",Esquenta Sertanejo
Não Deixou De Ser Esquema - Ao Vivo,Israel & Rodolffo,2024,Sertanejo,"Faz raiva
Faz falta
Faz mal
Faz gostoso
Tudo incluso, no mesmo corpo

Eu amo
Odeio
Desdenho, mas pego
É confuso, mas dá certo
Eu juro que eu queria não te querer mais
Mas sempre que eu bebo, eu corro atrás

Alô, problema
Onde cê tá que a saudade tá violenta
Alô, problema
Cê virou ex, mas não deixou de ser esquema
Imagina aí
Eu, você, o som no talo
Pra desfaçar o barulhão do nosso amasso",Esquenta Sertanejo
Trauma - Ao Vivo,Ícaro e Gilmar,2024,Sertanejo,"Quem me vê assim, acha que eu sempre fui assim
Um bêbado fumante, mas antes ou depois
Sempre tem um antes

Eu acendi meu primeiro cigarro
Depois que alguém me apagou da vida
E foi depois do segundo desgosto
Que eu passei a pegar gosto e vida

Umas me deixaram vícios
Outras me deixaram mágoa
Mas foi você
Foi você que me deixou com trauma

Umas me deixaram vícios
Outras me deixaram mágoa
Mas foi você
Foi você que me deixou com trauma

E se eu não tiver coragem de me envolver com outra
A culpa é da sua pessoa

Eu acendi meu primeiro cigarro
Depois que alguém me apagou da vida
E foi depois do segundo desgosto
Que eu passei a pegar gosto e vida

Umas me deixaram vícios
Outras me deixaram mágoa
Mas foi você
Foi você que me deixou com trauma

Umas me deixaram vícios
Outras me deixaram mágoa
Mas foi você
Foi você que me deixou com trauma

E se eu não tiver coragem de me envolver com outra
A culpa é da sua pessoa

A culpa é da sua pessoa
A culpa é da sua pessoa",Esquenta Sertanejo
Término Covarde - Ao Vivo,Guilherme & Benuto,2024,Sertanejo,"Não vim preparado
Pra essa conversa fria
Pra esse papo
De ciclo encerrado
Esse tchau tá muito calmo

Você já decidiu, eu sei
Se não me ama mais, de boa
Mas só pra me ajudar
Eu só vou te pedir uma coisa

Se quer terminar
Que tenha confusão, palavrão
Uma briga de acordar cidade
Não vem com essa de aperto de mão
Que término covarde
Eu quero sentir raiva e não saudade
Eu quero sentir raiva e não saudade

Se quer terminar
Que tenha confusão, palavrão
Uma briga de acordar cidade
Não vem com essa de aperto de mão
Que término covarde
Eu quero sentir raiva e não saudade
Eu quero sentir raiva e não saudade

Você já decidiu, eu sei
Se não me ama mais, de boa
Mas só pra me ajudar
Eu só vou te pedir uma coisa

Se quer terminar
Que tenha confusão, palavrão
Uma briga de acordar cidade
Não vem com essa de aperto de mão
Que término covarde
Eu quero sentir raiva e não saudade
Eu quero sentir raiva e não saudade

Se quer terminar
Que tenha confusão, palavrão
Uma briga de acordar cidade
Não vem com essa de aperto de mão
Que término covarde
Eu quero sentir raiva e não saudade
Eu quero sentir raiva e não saudade",Esquenta Sertanejo
Beijo Equivocado,George Henrique & Rodrigo,2023,Sertanejo,"Olha só a situação desse sujeito
Esse pé na bunda tá fazendo efeito
Camisa abotoada, pra baixo do peito
Na mão uma latinha para ver se dá jeito

Eita boca equivocada
Se iludindo de graça, querendo da beijo em ponta de faca
Eita cama, emocionada
Com ela foi amor a primeira deitada

Sabe aquela sentada que foi só uma vez
que causa que mais estrago que muita ex
Pior do que sofrer por uma boca que já foi sua
é sofrer por quem nunca foi porra nenhuma

Pior do que sofrer por uma boca que já foi sua
é sofrer por quem nunca foi porra nenhuma",Esquenta Sertanejo
Vazou Na Braquiara - Ao Vivo,Hugo & Guilherme,2024,Sertanejo,"Existem dois tipos de pessoa numa ficada
A que eu te amo junto
E a que eu te amo separa
A vida do solteiro é uma loteria nessas madrugada

A gente nunca sabe quem tá apostando o coração
A gente, por exemplo, achei que era além de um colchão
Mas você não pensava assim não, não

Me amava dentro de uma banheira
Num quarto de estrada
Saudade batia, nosso tesão topava
Mas foi só eu colocar
Sentimento na parada, que ela vazou na braquiara

Me amava dentro de uma banheira
Num quarto de estrada
Saudade batia, nosso tesão topava
Mas foi só eu colocar
Sentimento na parada, que ela vazou na braquiara

A tara dela era só fazer
Eu fui falar que amava",Esquenta Sertanejo
Tudo Ao Contrário - Ao Vivo,Yasmin Santos,2024,Sertanejo,"Se eu pudesse, voltava no tempo
Colocava a lágrima pra dentro
Congelava o meu coração
Não teria te apresentado o meu colchão

Vestiria a roupa de volta
Você nem passaria da porta
Eu nem aceitaria carona
Desbeijava sua boca e rejeitava a dança
E, na hora do oi, eu já acabaria com a sua esperança

Ai, ai, ai, ai
Fiz tudo ao contrário, mas já foi, tá feito
Ai, ai, ai, ai
Eu fui inocente, cê tirou proveito
Vacilei, agora o coração tá brigando comigo
Tô chorando, seria melhor não ter te conhecido

Se eu pudesse, voltava no tempo
Colocava a lágrima pra dentro
Congelava o meu coração
Não teria te apresentado o meu colchão

Vestiria a roupa de volta
Você nem passaria da porta
Eu nem aceitaria carona
Desbeijava sua boca e rejeitava a dança
E, na hora do oi, eu já acabaria com a sua esperança

Ai, ai, ai, ai
Fiz tudo ao contrário, mas já foi, tá feito
Ai, ai, ai, ai
Eu fui inocente, cê tirou proveito
Vacilei, agora o coração tá brigando comigo
Tô chorando, seria melhor não ter te conhecido

Ai, ai
Fiz tudo ao contrário, mas já foi, tá feito
Ai, ai, ai, ai, ai
Eu fui inocente, cê tirou proveito
Vacilei, agora o coração tá brigando comigo
Tô chorando, seria melhor não ter te conhecido
Tô chorando, seria melhor não ter te conhecido",Esquenta Sertanejo
Depois - Ao Vivo,Lauana Prado,2024,Sertanejo,"O copo da minha mão vai pra minha boca
Porque sua boca levou diretin pro copo
Eu já tentei sair com outras pessoas
Mas sua pessoa ferrou com meu psicológico

E é lógico que eu assustei
Achei que ia ser bom
Mas foi bom e meio
Seu coração vazio acabou me pegando em cheio

Depois que cê gemeu no meu ouvido
Eu nunca mais fiquei bem da cabeça
Eu fecho o olho e te vejo pelada
Abro o olho e vejo a cerveja na mesa

Depois que cê gemeu no meu ouvido
Eu nunca mais fiquei bem da cabeça
Eu fecho o olho e te vejo pelada
Abro o olho e vejo a cerveja na mesa

Que coisa louca
Um amor louco
Deixar louco de primeira",Esquenta Sertanejo
Fivela Com Fivela - Ao Vivo,Rionegro & Solimões,2024,Sertanejo,"Foi numa festa de rodeio
Que a gente brigou feio e nunca mais se falou
E a vida foi seguindo nunca mais te procurei
Você também nunca me procurou

E depois disso nenhum beijo prestou
E pelo visto chamou ninguém de amor
Não firmou com ninguém
Porque me comparou

Sabe aquele beijo que te leva ao céu
Tá na sombra do meu chapéu
Se tava com saudade hoje eu mato ela
Boca com boca
Fivela com fivela

Sabe aquele beijo que te leva ao céu
Tá na sombra do meu chapéu
Se tava com saudade hoje eu mato ela
Boca com boca
Fivela com fivela",Esquenta Sertanejo
Não Recomendo - Ao Vivo,Matheus & Kauan,2023,Sertanejo,"Eu tô acompanhando uma má companhia
Eu tô me apegando a uma desapegada
E sei que algo sério com alguém assim
É o mesmo que nada
Mas como é que nega um trenzão desse na cama
Que beija, que morde e arranha pra marcar
Mas se faz gostoso do tanto que engana, então tá
Não vale nada, mas eu pego de novo
E sem vergonha, mas tô sempre querendo
Eu não me arrependo
Mas não recomendo",Esquenta Sertanejo
Fim da Noite - Ao Vivo,João Bosco & Vinicius,2023,Sertanejo,"Você nunca vai me ver sofrer
Não consegue me fazer chorar
Não vai!
Isso eu disse pra te convencer
Que eu nem ligava em te perder
Que eu queria tudo terminar

Na primeira noite, eu nem liguei
Deu até vontade de dançar
Demais!
Eu conheci pessoas que eu gostei
Só no fim da festa eu me lembrei
Que você não vinha me buscar

No fim da noite que eu não quis você
Que eu tinha todo o tempo pra viver
Que o meu coração foi despertar
A solidão (solidão)
Eu descobri que nada sei de mim
Eu digo não, mas eu te amo, sim
E sem você não sei nem me cuidar

No fim da noite, eu queria te ver (é só ligar pra mim)
E nos teus braços dormir e sonhar (e sonhar)
Meu pensamento buscando você
Tudo pra me arrepender de te deixar

No fim da noite, não sei o que fazer (é só me procurar)
Sou de momentos, sem nada depois (nada depois)
E um sentimento me faz entender (o quê?)
Que o amor da noite é o fruto de nós dois",Esquenta Sertanejo
Seu Erro - Ao Vivo Em Nova Iorque / 2022,Henrique & Juliano,2023,Sertanejo,"Seu erro foi achar
que cê era importante demais na minha vida
Que sem você eu beberia, choraria, penaria, arrastaria

O seu erro foi achar que seu beijo
E sua cama me seguraria
Eu admiro a sua autoestima

Pra arrepiar minha pele
Não é só sua pele que serve
Você é o amor da minha vida
Só se for da vida que segue

Cê achou que a gente fez amor
Mas foi rancação de roupa
Se no seu beijo não tem sentimento
O meu só tinha boca

Foi se iludindo que iria me iludir
Armou a cama pra eu cair
E caiu por mim, bebeu por mim
Chorou por mim, penou por mim

Cê achou que a gente fez amor
Mas foi rancação de roupa
Se no seu beijo não tem sentimento
O meu só tinha boca

Foi se iludindo que iria me iludir
Armou a cama pra ver eu cair
E caiu por mim, bebeu por mim
Chorou por mim, penou por mim
Arrastou por mim",Esquenta Sertanejo
Ativou a Saudade - Ao Vivo,Rionegro & Solimões,2024,Sertanejo,"Copo cheio não afoga saudade
Só faz doer
E arranca umas verdades
Que eu queria ouvir de você

Quando a gente bebe sente a falta
Que alguém pode fazer

Quatro da manhã
Celular tocando
Se não for notícia ruim é ex ligando
Certeza que o grau
Bateu surreal
Ativou a saudade
Aí te deu coragem

Quatro da manhã
Celular tocando
Se não for notícia ruim é ex ligando
Certeza que o grau
Bateu surreal
Ativou a saudade
Aí te deu coragem
De pedir pra volta depois de alguns bares

Só faz doer
E arranca umas verdades
Que eu queria ouvir de você
Quando a gente bebe sente a falta
Que alguém pode fazer

Quatro da manhã
Celular tocando
Se não for notícia ruim é ex ligando
Certeza que o grau
Bateu surreal
Ativou a saudade
Aí te deu coragem
Quatro da manhã
Celular tocando
Se não for notícia ruim é ex ligando
Certeza que o grau
Bateu surreal
Ativou a saudade
Aí te deu coragem
De pedir pra volta depois de alguns bares

Ativou a saudade
Aí te deu coragem
De pedir pra volta depois de alguns bares",Esquenta Sertanejo
Sofrimento Líquido - Ao Vivo,Lauana Prado,2024,Sertanejo,"Todo santo dia é isso
Um choro diferente
Pelo mesmo motivo
Não tem olho que aguente tanto sofrimento líquido
Aonde aperta pra eu sair disso?

Já tô manjada nos bar da cidade inteira
Tem meu nome colado em cima da mesa
Eu me tornei o que eu mais temia
Vivendo na noite todo dia

Ai ai ai ai, tô sofrendo e bebendo de mais
Ai ai ai ai, eu não tenho um minuto de paz

Se pinga curasse dor de amor
Vendia na farmácia
Não vendia no boteco

Ai ai ai ai, tô sofrendo e bebendo de mais
Ai ai ai ai, eu não tenho um minuto de paz
Se pinga curasse dor de amor
Vendia na farmácia
Não vendia no boteco
Ai ai ai ai",Esquenta Sertanejo
De Bandeja,Bruno Cesar e Rodrigo,2024,Sertanejo,"Tá gaguejando demais
Pra quem já decorou o texto
Começa pelo começo

Vai falando suas desculpas esfarrapadas
Seus motivos egoístas
Desabafa

Põe um fim em nós
Bota eu pra correr
Eu quero tá longe
Quando a saudade topar com você

Cê vai entregar meu
Beijo de bandeja pra rua
Se eu boto o pé na muvuca
Eu não volto mais nunca, nunca, nunca
Vai entregar meu
Beijo de bandeja pra rua
Aí é loucura
Me solta que alguém me segura",Esquenta Sertanejo
Gotejou No Celular - Ao Vivo,Fred & Fabrício,2024,Sertanejo,"Entro no carro
A saudade já entra do lado
Oferece
Colírio e cigarro
Pra ouvir a playlist
Só os brabo

Que fala de álcool
De saudade, de amores passados
Vai me deixando mais emocionado
Me faz lembrar de quem já esqueci
Me faz ir atrás de quem nem faz mais falta pra mim

É cada tapa no volante
Ouvindo o som tocar
Só não mando mensagem
Pra não dirigir e digitar
Nem vi que eu te liguei
Com o som botando pra torar
É que chegou no refrão
E gotejou no celular",Esquenta Sertanejo
Ciumentalmente - Ao Vivo,Paulo e Nathan,2024,Sertanejo,"Eu tô gostando de uma pessoa
Que já tem a própria pessoa
Feliz pra caramba em uma vida boa

Não tô justificando, nem vou passar pano
Sei que eu tô errado
Mas é que minha cabeça só martela
Que ele é o cara errado

Na verdade eu vou fica julgando qualquer um
Que não seja eu do seu lado

Ciumentalmente
Esse ciúme que grita na minha mente
Expectativa deixa qualquer um doente
Na vida real eu não posso
Mas ninguém manda no meu inconsciente",Esquenta Sertanejo
Cabelo Loiro (F&J 10 Anos) - Ao Vivo,Fiduma & Jeca,2024,Sertanejo,"Eu nem sabia que eu precisava da sua boca
Até provar seu beijo
E eu nem imaginava que cê existia
Agora eu não te esqueço

Mas ela até tem coração
Mas não tem sentimento
Quem prova se apaixona
E quem se apaixona fica na saudade sofrendo

Não tem nada no mundo
Que derruba mais peão
Do que esse cabelo loiro
Debaixo de um chapelão
Do que esse cabelo loiro
Debaixo de um chapelão

Não tem nada no mundo
Que derruba mais peão
Do que esse cabelo loiro
Debaixo de um chapelão
Do que esse cabelo loiro
Debaixo de um chapelão

Eu nem sabia que eu precisava da sua boca
Até provar seu beijo
E eu nem imaginava que ""cê"" existia
Agora eu não te esqueço

Mas ela até tem coração
Mas não tem sentimento
Quem prova se apaixona
E quem se apaixona fica na saudade sofrendo

Não tem nada no mundo
Que derruba mais peão
Do que esse cabelo loiro
Debaixo de um chapelão
Do que esse cabelo loiro
Debaixo de um chapelão

Não tem nada no mundo
Que derruba mais peão
Do que esse cabelo loiro
Debaixo de um chapelão
Do que esse cabelo loiro
Debaixo de um chapelão

Não tem nada no mundo
Que derruba mais peão
Do que esse cabelo loiro
Debaixo de um chapelão
Do que esse cabelo loiro
Debaixo de um chapelão

Não tem nada no mundo
Que derruba mais peão
Do que esse cabelo loiro
Debaixo de um chapelão
Do que esse cabelo loiro
Debaixo de um chapelão

Do que esse cabelo loiro
Debaixo de um chapelão
Do que esse cabelo loiro
Debaixo de um chapelão",Esquenta Sertanejo
Barulho Do Foguete - Ao Vivo,Zé Neto & Cristiano,2023,Sertanejo,"Cadê a foto de vocês
Com a legenda de textão
Cadê o nome dele na sua bio
Do lado de um coração

Aconteceu alguma coisa
Me diz, como é que você tá
Cê sabe que eu tô sempre aqui
Se precisar desabafar
Meu ombro é todo seu quando quiser chorar

Que pena que cês terminaram
Achei que ia durar pra sempre
Tô triste com um negócio desse
Escuta aí o barulho do foguete",Esquenta Sertanejo
PEGA ESCANDALOSO,Luan Santana,2024,Sertanejo,"Acordei com uma puta saudade de mim
Me arrumei, olhei no espelho, não me reconheci

O cabelo tava arrumado, cheirando a perfume caro
Fazia um tempo que eu não saía desse quarto
Não falava com ninguém
Hoje eu me sinto bem
Me libertei de alguém

E agora eu vou voar também

Hoje eu vou pro meio do povo deixar uns pescoço roxo
Dar uns pega escandaloso, pôr a cama pra bater
O que vai ter de gente correndo perigo
Por causa do bandido criado por você
Não estranha minha vontade de viver
Não é vingança, é só cansaço de sofrer
O que vai ter de gente correndo perigo
Por causa do bandido criado por você

Kevin o Chris, manda pra elas

De copão na mão, marolando, party lotadão
Vivendo, vivão, tô curtindo a onda de patrão
Se ela vem jogando, eu vou pa cima
Quando o tamborzão toca, elas se anima
Kevin o Chris no comando do ritmo, aí elas desce no chão

Tem vida melhor, mas presta não
Tem vida melhor, mas presta não
Elas vêm jogando, eu vou pa cima
Quando o tamborzão toca, elas se anima
Kevin o Chris no comando do ritmo, aí elas desce no chão

Hoje eu vou pro meio do povo deixar uns pescoço roxo
Dar uns pega escandaloso, botar a cama pra bater
O que vai ter de gente correndo perigo
Por causa do bandido criado por você
Não estranha minha vontade de viver
Não é vingança, é só cansaço de sofrer
O que vai ter de gente correndo perigo
Por causa do bandido criado por você

Hoje eu vou pro meio do povo deixar uns pescoço roxo
Dar uns pega escandaloso, pôr a cama pra bater
O que vai ter de gente correndo perigo
Por causa do bandido criado por você
Não estranha minha vontade de viver
Não é vingança, é só cansaço de sofrer
O que vai ter de gente correndo perigo
Por causa do bandido criado por você",Esquenta Sertanejo
Poeirão - Ao Vivo,Guilherme & Benuto,2023,Sertanejo,"Por você vou virar uma página em branco
Coração vai apagar e zerar os eu te amo
Você é uma história que eu esperei tanto
Pra escrever

Todo beijo que rolou antes de você não valeu
Toda cama que eu deitei antes de você
Foi só isso, desperdício
Com você é sentimento e com as outras foi contato físico

Cê tirou o poeirão desse meu coração que tava na gaveta
O seu beijo foi choque no peito
O te amo saiu de primeira
Cê entrou e já trancou a porta e sumiu com a chave
Pode chutar que não abre
Esmurrar que não abre",Esquenta Sertanejo
Amor Não Dá Em Copo - Ao Vivo,Israel & Rodolffo,2023,Sertanejo,"Quem me negava eu te amo
Ta se afogando em água de bar
Ta lá numa mesa de lata
Decorando fala, pra se desculpar

Quer desfalar os palavrão, os vai embora
os que foda nossa história nunca mais a gente volta
Mas dessas voltas viu que o mundo dá suas voltas
Quem sorria hoje força pra ta bem na foto

viu que amor não dá em copo
E agora
Eu to bebendo é porque a minha boca quer e não porque o meu olho chora
A saudade que eu tinha da gente, já bateu as botas

E ta na sua cola, te pondo na fossa e ainda vai piorar
Vai ter outros porres, amores em off
Te desejo sorte, cê vai precisar
Cê vai precisar",Esquenta Sertanejo
